iteration	errD	errG	D_x	D_G_z1	D_G_z2
366	0.42752	5.2356	0.84072	0.1838	0.00929
367	0.45141	5.02837	0.82111	0.15698	0.01059
368	0.42555	5.29306	0.84107	0.1711	0.00827
369	0.34909	5.04644	0.84266	0.11986	0.0085
370	0.65323	5.34132	0.79754	0.26547	0.00684
371	0.58224	5.52683	0.76814	0.1995	0.00624
372	0.53869	5.30561	0.76908	0.17234	0.00667
373	0.58162	5.87123	0.79963	0.23718	0.00438
374	0.44147	5.4755	0.80346	0.14003	0.00565
375	0.42259	6.07007	0.94307	0.29198	0.00347
376	0.36401	5.48741	0.87878	0.17133	0.00622
377	0.35899	5.57775	0.89568	0.19437	0.00533
378	0.33001	5.272	0.85849	0.136	0.00903
379	0.38417	5.22295	0.8634	0.18624	0.00787
380	0.29285	5.95432	0.90957	0.16358	0.00482
381	0.41388	4.74306	0.79447	0.09128	0.02448
382	0.80039	4.71065	0.85271	0.33236	0.02265
383	0.64416	5.40335	0.88007	0.30816	0.01554
384	0.54928	4.99872	0.80759	0.18368	0.01876
385	0.69815	3.80876	0.76793	0.19015	0.05165
386	0.80786	4.15785	0.82745	0.34742	0.03179
387	0.53505	4.65622	0.83986	0.21017	0.01933
388	0.46039	4.34464	0.83101	0.16733	0.01908
389	0.54535	4.81663	0.84632	0.26358	0.0123
390	0.73589	4.54706	0.71654	0.22687	0.01564
391	0.72887	5.26977	0.80455	0.32026	0.00912
392	0.68346	4.6701	0.6601	0.12621	0.01041
393	0.71782	4.59134	0.69996	0.19759	0.01235
394	0.62403	4.99343	0.76166	0.2357	0.00879
395	0.58135	4.9385	0.74638	0.20034	0.00824
396	0.51852	4.1495	0.7466	0.1539	0.02237
397	0.7676	4.24275	0.82634	0.37105	0.02022
398	0.63099	4.6426	0.82088	0.27507	0.01434
399	0.57863	4.06505	0.7961	0.19882	0.02292
400	0.59115	4.12335	0.82709	0.25437	0.01959
401	0.60152	4.2063	0.79954	0.22255	0.01676
402	0.45898	4.49497	0.83447	0.18105	0.01363
403	0.36296	4.95682	0.87251	0.15881	0.00957
404	0.25394	5.60146	0.91392	0.12356	0.00581
405	0.20134	5.63931	0.91859	0.08764	0.0048
406	0.19007	6.21692	0.94889	0.11391	0.00333
407	0.19111	5.70534	0.90819	0.06636	0.00653
408	0.16299	5.70035	0.946	0.08788	0.00612
409	0.12692	6.32728	0.94737	0.06608	0.00301
410	0.17148	6.69727	0.96441	0.11863	0.00242
411	0.28385	5.23198	0.86752	0.07075	0.02138
412	0.99754	5.07168	0.91324	0.42729	0.015
413	0.74407	6.17926	0.90991	0.36806	0.00789
414	0.79406	5.70015	0.72535	0.1897	0.00729
415	0.59176	4.28872	0.75819	0.13638	0.03496
416	0.71273	4.24227	0.84157	0.3246	0.02559
417	0.47235	4.64167	0.87119	0.21702	0.01625
418	0.35967	4.55495	0.85081	0.1304	0.01472
419	0.26665	4.56625	0.89996	0.12077	0.01333
420	0.22585	5.08593	0.94023	0.13427	0.00878
421	0.15412	5.7515	0.96183	0.09857	0.0053
422	0.36786	4.43524	0.80778	0.06561	0.02988
423	1.06424	4.40164	0.8883	0.42489	0.02302
424	0.74432	5.24449	0.90151	0.32185	0.01287
425	0.60888	5.41639	0.82379	0.17243	0.00844
426	0.56031	3.25985	0.71976	0.04008	0.05379
427	0.79926	3.68077	0.85201	0.32311	0.03643
428	0.5499	4.76705	0.89682	0.26193	0.0198
429	0.39682	5.2389	0.87745	0.15087	0.01183
430	0.2862	5.12856	0.89104	0.10769	0.01026
431	0.38696	5.20868	0.87017	0.16896	0.00789
432	0.36173	5.45152	0.86951	0.14744	0.00629
433	0.39648	4.79869	0.80934	0.10799	0.02479
434	0.56322	5.05906	0.88238	0.28222	0.01653
435	0.47026	5.51949	0.86431	0.22054	0.00964
436	1.0701	3.78493	0.60466	0.15209	0.07869
437	1.90514	3.43624	0.77216	0.53078	0.06414
438	1.60424	4.80348	0.84575	0.60643	0.034
439	1.66416	4.6849	0.59161	0.32508	0.02353
440	1.36022	3.6058	0.55521	0.21016	0.05603
441	1.20276	3.04249	0.66312	0.33253	0.07128
442	1.12661	3.75833	0.74533	0.44131	0.04175
443	0.37475	5.05102	0.80149	0.09672	0.00719
444	0.35087	4.66056	0.81096	0.09045	0.01145
445	0.5663	4.85776	0.80841	0.22898	0.00997
446	0.66075	5.26987	0.79331	0.22524	0.00684
447	0.54857	4.9411	0.77803	0.15442	0.01159
448	0.79396	5.25629	0.78796	0.30929	0.00807
449	0.80165	4.89078	0.70231	0.22375	0.0099
450	0.71403	5.13994	0.78069	0.27931	0.00774
451	0.66517	4.76064	0.75431	0.19863	0.0112
452	0.61551	5.36916	0.81148	0.25876	0.00726
453	0.65569	4.65879	0.71119	0.14856	0.01756
454	0.63832	4.99604	0.80225	0.26392	0.01242
455	0.65384	4.42603	0.7274	0.16341	0.01938
456	1.09006	4.49162	0.83274	0.39037	0.01611
457	0.88221	5.01324	0.80919	0.31554	0.01084
458	1.19084	4.12275	0.62149	0.22306	0.03181
459	1.25472	4.10554	0.77021	0.43129	0.02681
460	1.05061	4.14086	0.62443	0.29694	0.01955
461	0.87481	4.40523	0.6966	0.30471	0.01668
462	1.08736	3.99684	0.60222	0.25791	0.02351
463	1.49069	4.02981	0.60036	0.42599	0.0263
464	1.42199	4.64377	0.61301	0.41368	0.02198
465	1.12973	4.21529	0.61814	0.245	0.03085
466	1.01923	3.69548	0.71338	0.33799	0.04053
467	0.7281	4.24149	0.81787	0.31437	0.02561
468	0.49428	4.52574	0.84085	0.20098	0.01737
469	0.74635	3.3049	0.71619	0.15649	0.07927
470	1.18864	3.12853	0.82349	0.44682	0.06857
471	1.11362	4.07188	0.83916	0.50033	0.04029
472	1.47251	3.67709	0.53412	0.29089	0.04968
473	1.21797	2.81993	0.57371	0.28992	0.11083
474	1.49395	2.97798	0.73772	0.54205	0.08484
475	1.44102	3.14061	0.58113	0.42713	0.06647
476	1.48768	2.52099	0.48037	0.35073	0.11759
477	1.38537	2.36013	0.69665	0.58804	0.09754
478	1.13471	3.05836	0.70222	0.48458	0.06292
479	0.85733	3.09377	0.68351	0.3026	0.05796
480	0.73678	3.15644	0.75199	0.31124	0.05248
481	0.71321	2.94272	0.71731	0.26271	0.06376
482	0.79541	3.56853	0.80382	0.38289	0.04079
483	0.72173	3.65321	0.72719	0.25274	0.03424
484	0.5801	3.95397	0.79931	0.25009	0.02589
485	0.66414	3.41803	0.70613	0.19629	0.05364
486	0.86601	3.69427	0.74138	0.34992	0.03919
487	0.7539	3.77741	0.70868	0.26545	0.03127
488	0.64698	4.17225	0.78081	0.28129	0.02169
489	0.61118	3.52571	0.72662	0.20246	0.04319
490	0.82486	3.97832	0.79061	0.35629	0.0305
491	0.68429	4.53841	0.77713	0.27848	0.01989
492	1.07838	2.88578	0.58252	0.1804	0.16965
493	1.6464	2.82199	0.74678	0.51303	0.12826
494	1.25529	4.13696	0.69652	0.51842	0.02972
495	1.13088	3.70887	0.6075	0.32912	0.04805
496	0.95264	3.28553	0.67969	0.32446	0.06541
497	0.99147	2.87804	0.64553	0.33205	0.08642
498	0.70569	3.48886	0.76262	0.28767	0.0544
